#txns,ours (s),plume (s),dbcop (s)
1024,0.034473,0.97181,0.043339
2048,0.056781,1.38376,0.272368
4096,0.114205,1.949588,10.117596
8192,0.159408,2.828622,DNF
16384,0.364284,3.856436,DNR
32768,0.713549,8.804531,DNR
65536,1.469862,29.679272,DNR
131072,3.696631,149.628938,DNR
262144,8.210085,DNF,DNR
