#txns,ours (s),plume (s)
1024,0.025525,0.935447
2048,0.046588,1.295961
4096,0.08077,2.05305
8192,0.120261,2.634797
16384,0.221209,4.445435
32768,0.411474,6.389383
65536,0.762169,12.504248
131072,1.56582,35.045829
262144,3.285639,186.375109
