ops_per_txn,ours (s),plume (s)
10,3.771886,22.850461
20,2.507549,14.686083
30,1.885646,11.194706
40,1.711181,9.515034
50,1.616839,8.830037
60,1.60698,8.667331
70,1.525382,8.552273
80,1.511796,8.727561
90,1.414225,8.076943
100,1.675086,8.725478
