ops_per_txn,ours (s),plume (s)
10,6.334498,32.306824
20,5.334638,23.612644
30,5.397648,19.784258
40,5.218965,18.871293
50,5.2936,18.920189
60,5.188962,19.493948
70,5.271429,18.889907
80,5.436001,19.833106
90,5.080636,20.600368
100,5.266178,20.107089
