ops_per_txn,ours (s),plume (s)
10,0.592652,24.504659
20,0.527448,17.771277
30,0.511431,15.113388
40,0.593497,14.872273
50,0.637141,14.785265
60,0.62972,14.537469
70,0.732389,13.486488
80,0.811975,14.088111
90,0.880472,13.548016
100,0.984939,13.56401
