ops_per_txn,ours (s),plume (s)
10,5.661688,32.043017
20,4.684673,22.928373
30,3.734404,18.663018
40,3.672461,19.904219
50,3.112034,15.189331
60,2.885039,15.108843
70,2.899761,14.504055
80,2.905675,14.768365
90,2.747646,14.943039
100,2.810262,14.227076
