ops_per_txn,ours (s),plume (s)
10,0.409302,19.20826
20,0.362447,13.176728
30,0.301987,9.925562
40,0.312116,8.501845
50,0.332328,8.010901
60,0.321136,7.386659
70,0.373944,7.036034
80,0.398888,7.150028
90,0.417824,6.232368
100,0.495307,7.400415
