ops_per_txn,ours (s),plume (s)
10,0.898016,32.123097
20,0.795807,22.911418
30,0.84464,20.316439
40,0.853458,19.235946
50,0.867278,19.256197
60,0.890872,19.356616
70,0.9245,19.099767
80,0.93657,19.884348
90,0.932389,20.182095
100,0.945084,20.354066
