ops_per_txn,ours (s),plume (s)
10,0.592853,26.177204
20,0.595607,18.708345
30,0.583642,15.85218
40,0.651118,18.187648
50,0.707116,13.213221
60,0.724889,13.413211
70,0.833749,12.020842
80,0.888076,13.275633
90,0.96406,11.906424
100,1.087824,11.782634
