ops_per_txn,ours (s),plume (s)
10,0.63565,24.516896
20,0.511395,14.579756
30,0.455775,11.865822
40,0.450695,9.209209
50,0.420423,9.150734
60,0.439399,8.912045
70,0.448772,8.679308
80,0.43928,8.796344
90,0.422857,8.135308
100,0.469426,8.633679
