ops_per_txn,ours (s),plume (s)
10,0.915708,32.103921
20,0.881217,22.098984
30,0.902402,18.449828
40,0.946616,19.852572
50,0.92349,15.236853
60,0.946951,15.284683
70,0.986127,14.569636
80,0.971262,14.852156
90,0.976942,14.470698
100,0.972106,14.302398
