txns,actual_txns,sessions,events,keys
1024,1006,50,8376,3183
2048,2011,50,15807,5271
4096,4025,50,28966,8170
8192,8030,50,53620,12192
16384,16049,50,101804,18788
32768,32139,50,198652,31660
