txns,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s)
1024,0.022684,1.03653,3.562648,0.072683,0.723981,0.167712
2048,0.040256,1.354709,5.683444,1.729563,16.40575,0.467031
4096,0.060786,1.974517,10.321542,98.052759,DNF,2.597583
8192,0.07917,2.722014,15.262714,DNF,DNF,14.725478
16384,0.169604,4.17229,48.26193,DNF,DNF,68.543451
32768,0.453126,8.087012,401.824311,DNF,DNF,405.561373
