txns,ours (s),plume (s)
50000,0.288377,10.917298
60000,0.350147,13.465505
70000,0.402112,13.997801
80000,0.472912,17.280684
90000,0.548466,21.360382
100000,0.604201,25.486049
110000,0.702088,28.264703
120000,0.758433,28.729418
130000,0.844588,36.456151
140000,0.926036,45.794413
