txns,ours (s),plume (s)
50000,0.208515,9.193515
60000,0.249771,14.384553
70000,0.286709,14.471259
80000,0.346,13.584789
90000,0.382044,34.324551
100000,0.442465,58.444778
110000,0.507823,64.872297
120000,0.548782,40.229547
130000,0.586339,72.88455
140000,0.611076,70.940829
