txns,ours (s),plume (s)
50000,0.279365,11.647663
60000,0.337597,16.281133
70000,0.408217,16.177753
80000,0.460883,16.582006
90000,0.525632,39.190553
100000,0.601586,56.67182
110000,0.706255,68.386899
120000,0.752317,43.180467
130000,0.828831,77.017507
140000,0.865761,73.889037
