txns,ours (s),plume (s)
50000,0.784268,18.599999
60000,1.00557,27.642208
70000,1.247616,27.757872
80000,1.473912,42.58191
90000,1.74201,51.82236
100000,1.910262,68.339656
110000,2.147599,92.420385
120000,2.321567,96.714873
130000,2.680304,130.193678
140000,3.007447,155.664435
