txns,ours (s),plume (s)
50000,0.976629,11.465109
60000,1.253867,16.570084
70000,1.590907,17.394412
80000,1.894662,17.183468
90000,2.252572,38.354906
100000,2.645503,57.453191
110000,3.281159,66.910624
120000,3.439735,44.355931
130000,3.793515,75.878329
140000,4.42144,75.431266
