txns,ours (s),plume (s)
50000,0.219939,8.970147
60000,0.257864,10.522955
70000,0.295009,11.569306
80000,0.348802,13.880532
90000,0.385075,18.594107
100000,0.444659,21.798173
110000,0.503786,25.071838
120000,0.545922,26.661624
130000,0.594037,31.105836
140000,0.633809,40.000114
