txns,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s)
1006,0.011964,1.074805,4.50429,0.212804,1.923507,0.18851
2011,0.018853,1.50471,8.654654,7.563677,68.175971,0.517813
4025,0.033932,2.203937,12.166202,212.239661,DNF,2.402838
8030,0.05936,3.228434,19.560497,DNF,DNF,11.90325
16049,0.128739,4.605195,67.290686,DNF,DNF,54.906581
32139,0.279978,7.434097,DNF,DNF,DNF,314.60616
