sessions,ours (s),plume (s)
10,0.638292,26.854373
20,0.62662,18.830627
30,0.646896,23.038429
40,0.606624,22.817227
50,0.619843,21.76511
60,0.632734,22.795703
70,0.615334,30.578811
80,0.604413,27.697452
90,0.63524,28.270207
100,0.61039,25.256908
