txns,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s)
1870,0.062384,2.109201,6.493461,1.203779,12.820896,0.506453
3161,0.102748,2.628993,10.316697,45.343032,437.14979,1.903346
6811,0.235666,4.151404,15.177441,600,600,10.27209
14590,0.468517,6.48419,27.45347,600,600,51.179865
28630,0.882677,11.417475,56.261732,600,600,256.704286
56148,2.103989,23.574928,291.204994,600,600,600
