sessions,ours (s),plume (s)
10,0.472208,9.104849
20,0.583201,8.188179
30,0.637313,9.062521
40,0.705863,9.230427
50,0.759434,9.725974
60,0.80008,9.267287
70,0.834484,9.140808
80,0.889641,10.232868
90,0.92633,9.202894
100,0.95133,9.860578
