sessions,ours (s),plume (s)
10,0.387866,7.659902
20,0.451633,7.438342
30,0.546447,9.050125
40,0.613065,10.160732
50,0.683409,11.398308
60,0.721447,13.845079
70,0.785126,15.790531
80,0.807742,18.342786
90,0.866413,20.946078
100,0.882189,20.651595
