sessions,ours (s),plume (s)
10,2.364157,32.441266
20,2.293391,26.152279
30,2.250238,27.555375
40,2.087261,29.851546
50,1.93341,30.579583
60,1.922338,39.01964
70,1.873611,30.844241
80,1.812074,28.913503
90,1.838518,33.461378
100,1.678239,28.722418
