sessions,ours (s),plume (s)
10,3.775455,28.943668
20,4.25145,27.761341
30,4.911598,28.357107
40,5.064604,27.124112
50,5.500609,30.721868
60,5.523177,39.901425
70,5.806475,28.178935
80,6.011095,30.034242
90,6.188923,28.12899
100,6.382281,31.855011
