sessions,ours (s),plume (s)
10,2.21017,27.00688
20,2.231418,29.242204
30,2.192837,35.938526
40,2.104596,32.450371
50,2.065614,29.171122
60,1.998462,32.221343
70,1.946113,32.965984
80,1.848654,28.989956
90,1.834423,31.443675
100,1.831744,31.302428
