sessions,ours (s),plume (s)
10,0.480572,9.413461
20,0.577446,8.286935
30,0.649319,11.108137
40,0.699349,14.111633
50,0.752224,12.637184
60,0.800221,14.604996
70,0.843126,12.647884
80,0.89566,10.046639
90,0.931065,11.834721
100,0.965408,16.675026
