sessions,ours (s),plume (s)
10,0.299001,7.363407
20,0.292402,7.956642
30,0.287991,9.054393
40,0.294177,10.537292
50,0.288638,11.59714
60,0.292026,13.72989
70,0.288134,15.922267
80,0.285732,18.525854
90,0.290646,20.414773
100,0.256935,22.015031
