sessions,ours (s),plume (s)
10,3.838087,26.935797
20,4.431901,30.207324
30,1.429816,DNF
40,5.275868,32.539352
50,5.592392,35.178443
60,6.168386,37.856431
70,6.175651,44.193109
80,6.84954,32.039372
90,6.812521,33.05179
100,7.160805,35.774116
