sessions,ours (s),plume (s)
10,2.164589,26.515922
20,2.146007,24.983964
30,2.096107,25.52109
40,1.976266,25.075797
50,1.851173,29.122252
60,1.815378,35.483823
70,1.794909,26.713488
80,1.67761,30.561116
90,1.610779,25.827416
100,1.615736,25.368742
