sessions,ours (s),plume (s)
10,0.287905,7.467512
20,0.271521,9.028131
30,0.265851,8.279809
40,0.257462,8.016525
50,0.258134,13.612431
60,0.270719,17.097297
70,0.265559,18.033832
80,0.267926,22.197896
90,0.267087,26.515982
100,0.248958,30.196757
