sessions,ours (s),plume (s)
10,0.458143,7.613256
20,0.555425,8.694364
30,0.618116,8.105805
40,0.670141,8.423059
50,0.652114,9.838677
60,0.659654,10.570298
70,0.702281,12.703452
80,0.693014,13.710063
90,0.776857,15.137976
100,0.777609,15.003577
