sessions,ours (s),plume (s)
10,0.215623,8.082428
20,0.228064,7.334029
30,0.199446,9.160501
40,0.22485,13.094597
50,0.211363,11.513069
60,0.211402,13.526515
70,0.220279,11.152173
80,0.218761,8.310164
90,0.190757,10.700996
100,0.211309,14.705039
