sessions,ours (s),plume (s)
10,0.229317,6.339414
20,0.232376,6.067149
30,0.211663,7.211019
40,0.231985,8.53356
50,0.207938,9.81456
60,0.228059,12.028077
70,0.226448,13.7367
80,0.227428,17.410634
90,0.230734,18.529422
100,0.228596,20.002342
