sessions,ours (s),plume (s)
10,0.221473,6.77113
20,0.19477,7.618846
30,0.218577,6.847683
40,0.204295,7.635203
50,0.201988,8.180546
60,0.202933,9.51823
70,0.189557,11.072509
80,0.201091,12.235205
90,0.189722,14.214518
100,0.184645,14.172233
