sessions,ours (s),plume (s)
10,0.299365,8.633859
20,0.281657,8.04234
30,0.282745,8.653196
40,0.286531,9.074512
50,0.256938,8.501859
60,0.291,9.215513
70,0.276691,9.057805
80,0.28107,9.647379
90,0.28352,9.123711
100,0.293173,9.771752
