sessions,ours (s),plume (s)
10,0.290007,7.771376
20,0.290994,8.18708
30,0.284917,8.696709
40,0.279119,8.653153
50,0.266409,8.948075
60,0.259878,10.636491
70,0.259251,12.614678
80,0.254618,13.714454
90,0.24988,14.960367
100,0.239835,15.164249
