sessions,ours (s),plume (s)
10,0.229123,6.03237
20,0.197417,6.558896
30,0.191026,6.225428
40,0.202542,6.634531
50,0.208473,11.826459
60,0.208119,16.299231
70,0.215372,16.438674
80,0.209661,20.897204
90,0.211001,25.187228
100,0.209815,28.485646
