ops_per_txn,ours (s),plume (s)
10,0.077058,3.662004
20,0.135476,4.837979
30,0.146578,4.789251
40,0.181323,5.463626
50,0.213853,5.767202
60,0.270035,5.773199
70,0.326121,6.570485
80,0.350743,7.390693
90,0.388216,7.329075
100,0.457299,8.556163
