ops_per_txn,ours (s),plume (s)
10,0.074587,3.007778
20,0.152723,4.709867
30,0.196064,6.213655
40,0.292598,6.479356
50,0.383744,8.024353
60,0.466951,8.582344
70,0.603318,10.311768
80,0.715356,10.142667
90,0.873358,10.865235
100,1.077213,12.091837
