sessions,ours (s),plume (s)
10,0.835648,7.613256
20,0.928009,8.694364
30,0.983539,8.105805
40,1.021441,8.423059
50,0.985156,9.838677
60,0.992365,10.570298
70,1.038273,12.703452
80,1.044902,13.710063
90,1.088984,15.137976
100,1.099602,15.003577
