sessions,ours (s),plume (s)
10,0.559052,8.082428
20,0.601541,7.334029
30,0.613952,9.160501
40,0.591166,13.094597
50,0.598452,11.513069
60,0.559545,13.526515
70,0.594969,11.152173
80,0.595996,8.310164
90,0.606387,10.700996
100,0.610802,14.705039
