sessions,ours (s),plume (s)
10,3.633752,26.462485
20,4.132649,34.890684
30,4.499944,33.77275
40,4.819625,35.234089
50,5.008487,35.834167
60,5.365987,39.927764
70,5.662602,37.45029
80,5.805569,40.301791
90,6.241894,48.142236
100,6.39017,48.960663
