#sessions,ours (s),plume (s)
10,0.528885,6.339414
20,0.529853,6.067149
30,0.499204,7.211019
40,0.529347,8.53356
50,0.494918,9.81456
60,0.49114,12.028077
70,0.52537,13.7367
80,0.530619,17.410634
90,0.52624,18.529422
100,0.514199,20.002342
