#sessions,#actual_txns,#events,#keys
10,48477,292733,45939
20,47007,281030,45674
30,45794,272468,45784
40,44961,267262,44974
50,45342,271524,44691
60,45666,273845,44974
70,45753,274881,44807
80,45701,275456,44755
90,45637,274603,44795
100,45753,274843,44674
