#sessions,ours (s),plume (s)
10,0.842824,9.104849
20,0.960977,8.188179
30,0.992438,9.062521
40,1.087026,9.230427
50,1.129169,9.725974
60,1.193852,9.267287
70,1.227257,9.140808
80,1.279531,10.232868
90,1.315577,9.202894
100,1.343924,9.860578
