sessions,ours (s),plume (s)
10,2.137426,26.043487
20,2.101408,33.788223
30,1.95633,30.629305
40,1.954207,31.949925
50,1.795036,34.984652
60,1.747508,36.5389
70,1.71684,36.740796
80,1.66911,37.07757
90,1.580718,45.620306
100,1.542623,45.662664
