sessions,ours (s),plume (s)
10,0.84574,9.413461
20,0.935314,8.286935
30,1.02129,11.108137
40,1.079525,14.111633
50,1.147316,12.637184
60,1.181464,14.604996
70,1.230802,12.647884
80,1.280173,10.046639
90,1.313543,11.834721
100,1.358263,16.675026
