#sessions,ours (s),plume (s)
10,4.740867,27.00688
20,4.813148,29.242204
30,4.763419,35.938526
40,4.711827,32.450371
50,4.543219,29.171122
60,4.519775,32.221343
70,4.347543,32.965984
80,4.174694,28.989956
90,4.231711,31.443675
100,4.136946,31.302428
