sessions,ours (s),plume (s)
10,0.221621,8.787501
20,0.221124,7.679484
30,0.224062,7.919437
40,0.223575,8.478168
50,0.215217,7.806806
60,0.226059,7.434425
70,0.222427,7.818648
80,0.219235,7.972368
90,0.223261,8.076847
100,0.226004,7.986906
