#sessions,ours (s),plume (s)
10,4.868636,32.441266
20,4.764426,26.152279
30,4.713532,27.555375
40,4.477427,29.851546
50,4.288877,30.579583
60,4.198594,39.01964
70,4.135757,30.844241
80,4.056596,28.913503
90,3.965676,33.461378
100,3.850337,28.722418
