#sessions,ours (s),plume (s)
10,6.364311,28.943668
20,6.819191,27.761341
30,7.209456,28.357107
40,7.490021,27.124112
50,7.703725,30.721868
60,7.996587,39.901425
70,8.125252,28.178935
80,8.458722,30.034242
90,8.536204,28.12899
100,8.677498,31.855011
