sessions,ours (s),plume (s)
10,4.934775,26.089474
20,4.975161,27.809221
30,4.914968,DNF
40,4.805627,31.648872
50,4.628737,30.410328
60,4.620615,42.361009
70,4.41323,35.194174
80,4.24607,31.661182
90,4.281061,32.274
100,4.202567,34.078145
