sessions,ours (s),plume (s)
10,0.504894,6.03237
20,0.45626,6.558896
30,0.478241,6.225428
40,0.466385,6.634531
50,0.468242,11.826459
60,0.479855,16.299231
70,0.479781,16.438674
80,0.467619,20.897204
90,0.46211,25.187228
100,0.483796,28.485646
