sessions,ours (s),plume (s)
10,0.378381,7.10769
20,0.433376,8.438498
30,0.48747,8.133469
40,0.540378,7.94041
50,0.587627,13.108024
60,0.627642,17.469327
70,0.676867,17.888343
80,0.72698,22.876933
90,0.756915,26.882857
100,0.805597,31.012979
