#sessions,ours (s),plume (s)
10,0.689991,7.659902
20,0.789724,7.438342
30,0.855683,9.050125
40,0.921921,10.160732
50,0.961661,11.398308
60,1.021404,13.845079
70,1.069877,15.790531
80,1.107626,18.342786
90,1.158941,20.946078
100,1.205282,20.651595
