sessions,ours (s),plume (s)
10,2.310967,27.701642
20,2.258265,35.232096
30,2.151413,32.861962
40,2.039775,33.290637
50,1.887276,35.62287
60,1.861026,38.550072
70,1.833484,37.767177
80,1.769237,41.169088
90,1.74039,47.610996
100,1.625665,45.864984
