sessions,ours (s),plume (s)
10,0.665367,9.136514
20,0.664915,8.180108
30,0.662356,11.099229
40,0.664321,14.038463
50,0.667535,12.868234
60,0.637732,14.980552
70,0.661683,12.499229
80,0.659619,10.288862
90,0.658308,11.476114
100,0.649567,16.475676
