#sessions,ours (s),plume (s)
10,0.659218,7.771376
20,0.646331,8.18708
30,0.646246,8.696709
40,0.629418,8.653153
50,0.558177,8.948075
60,0.558013,10.636491
70,0.568605,12.614678
80,0.561404,13.714454
90,0.566932,14.960367
100,0.55271,15.164249
