sessions,ours (s),plume (s)
10,0.377823,8.598099
20,0.481527,7.727243
30,0.554807,8.71692
40,0.611689,8.435683
50,0.637262,8.717922
60,0.708299,8.696589
70,0.778951,8.795389
80,0.816309,9.60207
90,0.860814,9.619252
100,0.907548,9.560068
