sessions,ours (s),plume (s)
10,0.301882,9.504493
20,0.283867,8.302957
30,0.29581,9.400829
40,0.295145,9.766014
50,0.291872,9.217567
60,0.27963,8.668248
70,0.288801,9.07108
80,0.292301,10.012776
90,0.285031,9.305149
100,0.289774,10.170396
