sessions,ours (s),plume (s)
10,0.590504,8.633859
20,0.590994,8.04234
30,0.593868,8.653196
40,0.593008,9.074512
50,0.583497,8.501859
60,0.583529,9.215513
70,0.58702,9.057805
80,0.58337,9.647379
90,0.587395,9.123711
100,0.591581,9.771752
