sessions,ours (s),plume (s)
10,4.756222,26.515922
20,4.652772,24.983964
30,4.539284,25.52109
40,4.335949,25.075797
50,4.179948,29.122252
60,4.161735,35.483823
70,4.064683,26.713488
80,3.986776,30.561116
90,3.864191,25.827416
100,3.710652,25.368742
